"","fecha_lista","dia_semana","num_lista","horario_audiencia","expediente","anio","notificacion","entrega_actor","entrega_ra","entrega_dem","entrega_rd","p_actor","p_r.actor","p_demandado","p_r.demandado","se_concilio","cantidad_convenio","pago_convenio","se_desistio","cantidad_desistimiento","capturista_seguimiento","count_placebo","placebo","count_partes","partes"
"76","22-08-2017","Martes","25","10:00",2008,2016,1,0,0,0,0,0,2,0,1,0,NA,NA,0,NA,"GAMA",0,0,3,1
"77","22-08-2017","Martes","26","10:00",181,2017,3,0,0,0,0,0,1,0,0,0,NA,NA,0,NA,"GAMA",0,0,1,1
"78","22-08-2017","Martes","27","10:30",824,2016,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",0,0,NA,NA
"79","22-08-2017","Martes","28","10:30",1468,2016,1,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,"GAMA",0,0,0,0
"80","22-08-2017","Martes","29","10:30",1091,2017,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",0,0,NA,NA
"81","22-08-2017","Martes","30","11:00",266,2001,1,0,0,0,0,0,1,0,1,0,NA,NA,0,NA,"GAMA",0,0,2,1
"82","22-08-2017","Martes","31","11:00",1076,2007,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",0,0,NA,NA
"83","22-08-2017","Martes","32","11:00",868,2011,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",0,0,NA,NA
"84","22-08-2017","Martes","33","11:00",2001,2011,3,0,0,0,0,0,1,0,0,0,NA,NA,0,NA,"GAMA",0,0,1,1
"85","22-08-2017","Martes","34","11:00",1526,2013,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",0,0,NA,NA
"86","22-08-2017","Martes","35","11:00",328,2014,1,0,0,0,0,0,1,0,1,0,NA,NA,0,NA,"GAMA",0,0,2,1
"87","22-08-2017","Martes","36","11:00",735,2016,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",0,0,NA,NA
"88","22-08-2017","Martes","37","11:00",1433,2016,1,0,0,0,0,1,1,0,1,1,29000,29000,0,NA,"GAMA",0,0,3,1
"89","22-08-2017","Martes","38","11:30",8,2017,2,0,0,0,0,0,1,0,1,1,21500,0,0,NA,"GAMA",0,0,2,1
"90","22-08-2017","Martes","39","12:00",668,2014,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",0,0,NA,NA
"91","22-08-2017","Martes","40","12:00",1437,2014,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",0,0,NA,NA
"92","22-08-2017","Martes","41","12:00",1109,2015,3,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,"GAMA",0,0,0,0
"93","22-08-2017","Martes","42","12:00",341,2016,3,0,0,0,0,0,1,0,0,0,NA,NA,0,NA,"GAMA",0,0,1,1
"94","22-08-2017","Martes","43","12:00",639,2016,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",0,0,NA,NA
"95","22-08-2017","Martes","44","12:00",1459,2016,1,0,0,0,0,0,0,0,1,0,NA,NA,0,NA,"GAMA",0,0,1,1
"96","22-08-2017","Martes","45","12:00",155,2017,3,0,0,0,0,0,1,0,0,0,NA,NA,0,NA,"GAMA",0,0,1,1
"97","22-08-2017","Martes","46","12:00",161,2017,3,0,0,0,0,0,1,0,0,0,NA,NA,0,NA,"GAMA",0,0,1,1
"98","22-08-2017","Martes","47","12:00",173,2017,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",0,0,NA,NA
"99","22-08-2017","Martes","48","12:00",191,2017,3,0,0,0,0,0,1,0,0,0,NA,NA,0,NA,"GAMA",0,0,1,1
"100","22-08-2017","Martes","49","12:00",1872,2015,3,0,0,0,0,1,1,0,1,0,NA,NA,0,NA,"GAMA",0,0,3,1
"101","31-07-2017","Lunes","1","09:00",218,2009,1,0,0,0,0,0,1,0,1,0,NA,NA,0,NA,"GAMA",0,0,2,1
"102","31-07-2017","Lunes","2","09:00",318,2009,3,0,0,0,0,0,1,0,0,0,NA,NA,0,NA,"GAMA",0,0,1,1
"103","31-07-2017","Lunes","3","09:00",1859,2012,1,0,0,0,0,0,1,0,1,0,NA,NA,0,NA,"GAMA",0,0,2,1
"104","31-07-2017","Lunes","4","09:00",1938,2012,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",0,0,NA,NA
"105","31-07-2017","Lunes","5","09:00",265,2014,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",0,0,NA,NA
"106","31-07-2017","Lunes","6","09:00",810,2014,3,0,0,0,0,0,1,0,1,0,NA,NA,0,NA,"GAMA",0,0,2,1
"107","31-07-2017","Lunes","7","09:00",1065,2014,1,0,0,0,1,0,1,0,1,0,NA,NA,0,NA,"GAMA",1,1,2,1
"108","31-07-2017","Lunes","8","09:00",1361,2014,1,0,0,0,0,0,1,0,1,0,NA,NA,0,NA,"GAMA",0,0,2,1
"109","31-07-2017","Lunes","9","09:00",1903,2014,1,0,0,0,0,0,0,0,1,0,NA,NA,0,NA,"GAMA",0,0,1,1
"110","31-07-2017","Lunes","10","09:00",1415,2015,1,0,0,0,0,0,1,0,1,0,NA,NA,0,NA,"GAMA",0,0,2,1
"111","31-07-2017","Lunes","11","09:00",2001,2015,1,1,1,1,0,1,1,0,1,0,NA,NA,0,NA,"GAMA",3,1,3,1
"112","31-07-2017","Lunes","12","09:00",1082,2016,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",0,0,NA,NA
"113","31-07-2017","Lunes","13","09:30",314,2015,3,0,0,0,0,0,0,1,0,0,NA,NA,0,NA,"GAMA",0,0,1,1
"114","31-07-2017","Lunes","14","09:30",1108,2016,3,1,0,0,1,0,1,0,0,0,NA,NA,0,NA,"GAMA",2,1,1,1
"115","31-07-2017","Lunes","15","10:00",655,2011,1,1,0,0,0,0,1,0,1,0,NA,NA,0,NA,"GAMA",1,1,2,1
