
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="convenio_m5m",="doble_convenio"

="calculadora",="0.0503**",="0.0259",="0.0398*",="0.00590",="0.0517***",="0.0162",="0.00226",="-0.0121",="0.0638**"
="",="(0.0226)",="(0.0191)",="(0.0218)",="(0.0243)",="(0.0166)",="(0.0160)",="(0.0165)",="(0.0259)",="(0.0268)"

="p_actor",="",="0.140***",="",="0.148**",="",="0.147***",="0.697***",="0.0512",=""
="",="",="(0.0515)",="",="(0.0607)",="",="(0.0402)",="(0.220)",="(0.0527)",=""

="calc_X_pactor",="",="0.127",="",="0.137*",="",="0.135***",="0.122**",="0.112*",=""
="",="",="(0.0807)",="",="(0.0726)",="",="(0.0521)",="(0.0521)",="(0.0640)",=""

="gen_resid_pr",="",="",="",="",="",="",="-0.310***",="",=""
="",="",="",="",="",="",="",="(0.118)",="",=""

="N",="631",="631",="1092",="1092",="1723",="1723",="1723",="1723",="1920"
="R-sq",="0.140",="0.217",="0.056",="0.117",="0.060",="0.139",="0.144",="0.122",="0.007"
="DepVarMean",="0.0629",="0.0629",="0.165",="0.165",="0.115",="0.115",="0.115",="0.413",="0.386"
="IntContMean",="",="0.194",="",="0.275",="",="0.230",="0.230",="0.460",=""
="testInteraction",="",="0.0523",="",="0.0285",="",="0.00204",="0.0119",="0.0935",=""
="pval_r",="0.0269",="0.176",="0.126",="0.819",="0.00317",="0.338",="0.896",="0.645",="0.00466"
="pval_r_int",="",="0.116",="",="0.0789",="",="0.0128",="0.0244",="0.0696",=""
="pval_ri",="0",="0.170",="0.140",="0.860",="0",="0.370",="0.910",="0.690",="0.0500"
="pval_ri_int",="",="0.0800",="",="0.0400",="",="0.0100",="0.0200",="0.0900",=""
="pval_cl",="0.0268",="0.176",="0.0601",="0.802",="0.00147",="0.299",="0.889",="0.633",="0.0178"
="pval_cl_int",="",="0.116",="",="0.0603",="",="0.00943",="0.0209",="0.0790",=""
="pval_hc2",="0.0266",="0.175",="",="",="",="",="",="",=""
="pval_hc2_int",="",="0.117",="",="",="",="",="",="",=""
="pval_hc3",="0.0353",="0.199",="",="",="",="",="",="",=""
="pval_hc3_int",="",="0.138",="",="",="",="",="",="",=""
="pval_jk",="0.0351",="0.199",="0.0870",="0.817",="0.00248",="0.329",="0.895",="0.650",="0.0190"
="pval_jk_int",="",="0.138",="",="0.0670",="",="0.0104",="0.0228",="0.0838",=""
="pval_bt",="0.0532",="0.213",="0.0804",="0.811",="0.00276",="0.354",="0.891",="0.668",="0.0167"
="pval_bt_int",="",="0.153",="",="0.0646",="",="0.00910",="0.0188",="0.0581",=""
="pval_bca",="0.0216",="0.140",="0.0825",="0.800",="0.00169",="0.272",="0.902",="0.654",="0.0179"
="pval_bca_int",="",="0.0657",="",="0.0524",="",="0.00349",="0.0109",="0.0994",=""
="pval_pt",="0.0267",="0.175",="0.0781",="0.810",="0.00240",="0.315",="0.892",="0.642",="0.0186"
="pval_pt_int",="",="0.118",="",="0.0690",="",="0.0107",="0.0229",="0.0828",=""
="pval_moulton",="",="",="0.129",="0.831",="0.00429",="0.399",="0.909",="0.650",="0.0105"
="pval_moulton_int",="",="",="",="0.0392",="",="0.00203",="0.00531",="0.0651",=""
="pval_brl",="",="",="0.0682",="0.808",="0.00184",="",="",="",="0.0175"
="pval_brl_int",="",="",="",="0.0590",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
