
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="convenio_m5m",="doble_convenio"

="calculadora",="0.050**",="0.026",="0.040*",="0.0059",="0.047***",="0.016",="0.0023",="-0.012",="0.064**"
="",="(0.023)",="(0.019)",="(0.021)",="(0.023)",="(0.015)",="(0.016)",="(0.018)",="(0.025)",="(0.027)"

="p_actor",="",="0.14***",="",="0.15**",="",="0.15***",="0.70***",="0.051",=""
="",="",="(0.051)",="",="(0.060)",="",="(0.040)",="(0.20)",="(0.052)",=""

="c.calculadora#c.p_actor",="",="0.13",="",="0.14*",="",="0.14***",="0.12**",="0.11*",=""
="",="",="(0.081)",="",="(0.072)",="",="(0.052)",="(0.054)",="(0.064)",=""

="gen_resid_pr",="",="",="",="",="",="",="-0.31***",="",=""
="",="",="",="",="",="",="",="(0.11)",="",=""

="N",="631",="631",="1092",="1092",="1723",="1723",="1723",="1723",="1920"
="R-sq",="0.140",="0.217",="0.056",="0.117",="0.073",="0.139",="0.144",="0.122",="0.007"
="DepVarMean",="0.063",="0.063",="0.16",="0.16",="0.11",="0.11",="0.11",="0.41",="0.39"
="IntContMean",="",="0.19",="",="0.27",="",="0.23",="0.23",="0.46",=""
="testInteraction",="",="0.052",="",="0.030",="",="0.0020",="0.019",="0.091",=""
="pval_ri",="0",="0.17",="0.14",="0.86",="0",="0.37",="0.91",="0.69",="0.050"
="pval_ri_int",="",="0.080",="",="0.040",="",="0.010",="0.020",="0.090",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
