
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="",="",="(0.039)",="(0.038)",="(0.039)",="(0.037)",="(0.038)",="",="",=""

="d_junta3",="",="",="-0.0033",="-0.011",="-0.0047",="-0.012",="0.058*",="",="",=""
="",="",="",="(0.034)",="(0.032)",="(0.034)",="(0.033)",="(0.030)",="",="",=""

="d_junta4",="",="",="0.21***",="0.20***",="0.20***",="0.20***",="0.29***",="",="",=""
="",="",="",="(0.038)",="(0.038)",="(0.038)",="(0.037)",="(0.039)",="",="",=""

="d_junta5",="",="",="-0.025",="-0.045",="-0.027",="-0.046",="0",="",="",=""
="",="",="",="(0.030)",="(0.029)",="(0.030)",="(0.029)",="(0)",="",="",=""

="phase",="",="",="",="",="-0.018",="0.00019",="0.054",="",="",=""
="",="",="",="",="",="(0.050)",="(0.047)",="(0.051)",="",="",=""

="gen_resid_pr",="",="",="",="",="",="",="-0.31***",="",="",=""
="",="",="",="",="",="",="",="(0.11)",="",="",=""

="2010.anioControl",="",="",="",="",="",="",="",="0",="0",=""
="",="",="",="",="",="",="",="",="(.)",="(.)",=""

="2011.anioControl",="",="",="",="",="",="",="",="0.012",="0.013",=""
="",="",="",="",="",="",="",="",="(0.072)",="(0.073)",=""

="2012.anioControl",="",="",="",="",="",="",="",="0.14*",="0.13*",=""
="",="",="",="",="",="",="",="",="(0.074)",="(0.074)",=""

="2013.anioControl",="",="",="",="",="",="",="",="0.17***",="0.16**",=""
="",="",="",="",="",="",="",="",="(0.064)",="(0.064)",=""

="2014.anioControl",="",="",="",="",="",="",="",="0.12**",="0.11**",=""
="",="",="",="",="",="",="",="",="(0.051)",="(0.052)",=""

="2015.anioControl",="",="",="",="",="",="",="",="0.33***",="0.30***",=""
="",="",="",="",="",="",="",="",="(0.050)",="(0.050)",=""

="2016.anioControl",="",="",="",="",="",="",="",="0.41***",="0.38***",=""
="",="",="",="",="",="",="",="",="(0.064)",="(0.064)",=""

="1.numActores",="",="",="",="",="",="",="",="0",="0",=""
="",="",="",="",="",="",="",="",="(.)",="(.)",=""

="2.numActores",="",="",="",="",="",="",="",="-0.13**",="-0.11*",=""
="",="",="",="",="",="",="",="",="(0.058)",="(0.060)",=""

="3.numActores",="",="",="",="",="",="",="",="-0.077",="-0.076",=""
="",="",="",="",="",="",="",="",="(0.057)",="(0.056)",=""

="2.junta",="",="",="",="",="",="",="",="0",="0",=""
="",="",="",="",="",="",="",="",="(.)",="(.)",=""

="7.junta",="",="",="",="",="",="",="",="0.019",="0.0054",=""
="",="",="",="",="",="",="",="",="(0.057)",="(0.055)",=""

="9.junta",="",="",="",="",="",="",="",="0.021",="0.017",=""
="",="",="",="",="",="",="",="",="(0.057)",="(0.056)",=""

="11.junta",="",="",="",="",="",="",="",="0.21***",="0.21***",=""
="",="",="",="",="",="",="",="",="(0.057)",="(0.056)",=""

="16.junta",="",="",="",="",="",="",="",="-0.072",="-0.082",=""
="",="",="",="",="",="",="",="",="(0.055)",="(0.054)",=""

="0.phase",="",="",="",="",="",="",="",="0",="0",=""
="",="",="",="",="",="",="",="",="(.)",="(.)",=""

="1.phase",="",="",="",="",="",="",="",="0.025",="0.033",=""
="",="",="",="",="",="",="",="",="(0.064)",="(0.062)",=""

="mujer",="",="",="",="",="",="",="",="",="",="-0.042*"
="",="",="",="",="",="",="",="",="",="",="(0.024)"

="antiguedad",="",="",="",="",="",="",="",="",="",="0.0032"
="",="",="",="",="",="",="",="",="",="",="(0.0023)"

="salario_diario",="",="",="",="",="",="",="",="",="",="0.000013"
="",="",="",="",="",="",="",="",="",="",="(0.000015)"

="_cons",="0.11",="0.045",="0.0050",="0.0028",="-0.11*",="-0.047",="-0.14*",="0.058",="0.080",="0.39***"
="",="(0.10)",="(0.086)",="(0.050)",="(0.052)",="(0.060)",="(0.059)",="(0.083)",="(0.068)",="(0.066)",="(0.026)"

="N",="631",="631",="1092",="1092",="1723",="1723",="1723",="1723",="1723",="1920"
="R-sq",="0.140",="0.217",="0.056",="0.117",="0.073",="0.139",="0.144",="0.112",="0.122",="0.007"
="DepVarMean",="0.063",="0.063",="0.16",="0.16",="0.11",="0.11",="0.11",="0.41",="0.41",="0.39"
="IntContMean",="",="0.19",="",="0.27",="",="0.23",="0.23",="",="0.46",=""
="testInteraction",="",="0.052",="",="0.030",="",="0.0020",="0.011",="",="0.091",=""
="pval_ri",="0.034",="0.20",="0.15",="0.83",="0.0080",="0.34",="0.91",="0.65",="0.69",="0.056"
="pval_ri_int",="",="0.14",="",="0.064",="",="0.013",="0.026",="",="0.077",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
