
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)"
="",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio"

="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="2.treatment#1.p_actor",="",="",="0.30***",="",="",="0.21***",="",="",="0.26***",="",="",="0.24***",="",="",="0.23***",="",="",="0.24***"
="",="",="",="(0.078)",="",="",="(0.067)",="",="",="(0.093)",="",="",="(0.065)",="",="",="(0.067)",="",="",="(0.087)"

="0.p_actor#0.interaction",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="0.p_actor#1.interaction",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="1.p_actor#0.interaction",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="1.p_actor#1.interaction",="",="",="0.15*",="",="",="0.0045",="",="",="0.16",="",="",="0.051",="",="",="0.10",="",="",="0.078"
="",="",="",="(0.078)",="",="",="(0.074)",="",="",="(0.096)",="",="",="(0.089)",="",="",="(0.099)",="",="",="(0.093)"

="1.treatment#0.p_actor#0.interaction",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="1.treatment#0.p_actor#1.interaction",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="1.treatment#1.p_actor#0.interaction",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="1.treatment#1.p_actor#1.interaction",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="2.treatment#0.p_actor#0.interaction",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="2.treatment#0.p_actor#1.interaction",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
