
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="p_actor",="p_actor"

="main",="",="",="",="",="",="",=""
="0.altT",="0",="",="",="",="",="0",="0"
="",="(.)",="",="",="",="",="(.)",="(.)"

="1.altT",="0.121",="",="",="",="",="0.0288",="0.108"
="",="(0.0950)",="",="",="",="",="(0.0175)",="(0.0680)"

="p_actor",="0.723***",="",="",="",="",="",=""
="",="(0.163)",="",="",="",="",="",=""

="interactT",="0.257",="",="",="",="",="",=""
="",="(0.189)",="",="",="",="",="",=""

="2010.anioControl",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2011.anioControl",="0",="-0.0246",="-0.0267",="0",="0",="0.0111",="0.307"
="",="(.)",="(0.0248)",="(0.0250)",="(.)",="(.)",="(0.0486)",="(0.614)"

="2012.anioControl",="-0.219",="-0.0218",="-0.0310",="-0.0134",="0",="0.159**",="1.165**"
="",="(0.605)",="(0.0337)",="(0.0238)",="(0.588)",="(.)",="(0.0666)",="(0.464)"

="2013.anioControl",="0.116",="0.00437",="0.000144",="0.283",="0.130",="0.0622",="0.710"
="",="(0.520)",="(0.0366)",="(0.0361)",="(0.495)",="(0.535)",="(0.0430)",="(0.454)"

="2014.anioControl",="0.0206",="0.00526",="-0.00865",="0.265",="-0.0593",="0.130***",="1.038**"
="",="(0.477)",="(0.0300)",="(0.0276)",="(0.459)",="(0.507)",="(0.0410)",="(0.428)"

="2015.anioControl",="0.585",="0.101***",="0.0400",="0.934**",="0.523",="0.220***",="1.361***"
="",="(0.445)",="(0.0341)",="(0.0325)",="(0.425)",="(0.450)",="(0.0381)",="(0.417)"

="2016.anioControl",="0.767*",="0.154***",="0.0764*",="1.151***",="0.771",="0.296***",="1.587***"
="",="(0.459)",="(0.0470)",="(0.0454)",="(0.438)",="(0.475)",="(0.0549)",="(0.429)"

="1.numActores",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2.numActores",="-0.128",="-0.0474",="-0.00268",="-0.265",="-0.0536",="-0.116***",="-0.597**"
="",="(0.234)",="(0.0377)",="(0.0444)",="(0.214)",="(0.265)",="(0.0410)",="(0.297)"

="3.numActores",="-0.143",="-0.0275",="-0.0152",="-0.155",="-0.142",="-0.00672",="-0.0188"
="",="(0.230)",="(0.0328)",="(0.0299)",="(0.222)",="(0.278)",="(0.0430)",="(0.178)"

="2.junta",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="7.junta",="0.0480",="0.0278",="0.0111",="0.110",="0.0572",="0.0837**",="0.313**"
="",="(0.163)",="(0.0386)",="(0.0357)",="(0.157)",="(0.177)",="(0.0386)",="(0.146)"

="9.junta",="-0.0594",="-0.0000847",="-0.0132",="0.00413",="-0.0692",="0.0362",="0.155"
="",="(0.150)",="(0.0345)",="(0.0297)",="(0.150)",="(0.164)",="(0.0333)",="(0.136)"

="11.junta",="0.720***",="0.191***",="0.194***",="0.647***",="0.721***",="0.00597",="0.0261"
="",="(0.133)",="(0.0370)",="(0.0341)",="(0.133)",="(0.129)",="(0.0314)",="(0.134)"

="16.junta",="-0.268*",="-0.0460",="-0.0685***",="-0.230",="-0.503**",="0.0716*",="0.276*"
="",="(0.146)",="(0.0331)",="(0.0254)",="(0.156)",="(0.198)",="(0.0395)",="(0.150)"

="1.phase",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2.phase",="0.0274",="-0.0140",="0.0225",="-0.0587",="0.112",="-0.107*",="-0.336**"
="",="(0.199)",="(0.0493)",="(0.0477)",="(0.187)",="(0.261)",="(0.0558)",="(0.163)"

="1.time_hr",="",="0",="0",="0",="0",="0",="0"
="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2.time_hr",="",="-0.0496",="-0.0397",="-0.218",="-0.213",="-0.0410",="-0.133"
="",="",="(0.0410)",="(0.0389)",="(0.168)",="(0.227)",="(0.0401)",="(0.138)"

="3.time_hr",="",="-0.0604*",="-0.0130",="-0.279**",="-0.0755",="-0.0878***",="-0.326***"
="",="",="(0.0312)",="(0.0295)",="(0.135)",="(0.167)",="(0.0317)",="(0.115)"

="4.time_hr",="",="-0.0471",="-0.0423",="-0.226",="-0.272",="-0.0474",="-0.157"
="",="",="(0.0398)",="(0.0389)",="(0.159)",="(0.220)",="(0.0376)",="(0.131)"

="5.time_hr",="",="-0.0744**",="-0.0311",="-0.354**",="-0.189",="-0.0649*",="-0.224*"
="",="",="(0.0321)",="(0.0298)",="(0.141)",="(0.172)",="(0.0334)",="(0.121)"

="6.time_hr",="",="-0.0904**",="-0.0440",="-0.412**",="-0.264",="-0.129***",="-0.503***"
="",="",="(0.0414)",="(0.0417)",="(0.176)",="(0.218)",="(0.0406)",="(0.174)"

="7.time_hr",="",="-0.0648*",="-0.0248",="-0.301**",="-0.182",="-0.0419",="-0.138"
="",="",="(0.0373)",="(0.0380)",="(0.152)",="(0.201)",="(0.0353)",="(0.119)"

="8.time_hr",="",="0.306**",="0.293*",="0.672*",="0.654",="-0.0142",="-0.0297"
