
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="negative_returners",="negative_returners",="negative_returners",="negative_returners",="negative_returners"

="gen",="-0.035**",="",="",="",=""
="",="(0.014)",="",="",="",=""

="trabajador_base",="",="-0.034",="",="",=""
="",="",="(0.028)",="",="",=""

="c_antiguedad",="",="",="-0.006***",="",=""
="",="",="",="(0.001)",="",=""

="salario_diario",="",="",="",="-0.000",=""
="",="",="",="",="(0.000)",=""

="horas_sem",="",="",="",="",="0.002***"
="",="",="",="",="",="(0.001)"

="_cons",="0.417***",="0.404***",="0.428***",="0.402***",="0.279***"
="",="(0.017)",="(0.016)",="(0.017)",="(0.016)",="(0.035)"

="N",="4503",="4492",="4470",="4484",="4425"
="R-squared",="0.014",="0.013",="0.017",="0.013",="0.017"
="F_stat",="13.022",="12.109",="15.139",="11.902",="15.373"
="Court dummies",="YES",="YES",="YES",="YES",="YES"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
