
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="win",="win",="liq_total",="liq_total",="c_total",="c_total",="won_asked",="won_asked"

="abogado_pub",="0.018",="0.062",="-0.20***",="-0.14**",="-0.67***",="-0.098**",="0.087***",="-0.057**"
="",="(0.37)",="(0.39)",="(0.053)",="(0.061)",="(0.041)",="(0.038)",="(0.020)",="(0.024)"

="gen",="-0.19",="-0.21",="-0.072**",="-0.068*",="-0.016",="-0.036*",="-0.041***",="-0.034**"
="",="(0.24)",="(0.24)",="(0.036)",="(0.036)",="(0.026)",="(0.021)",="(0.015)",="(0.014)"

="trabajador_base",="0.023",="0.044",="0.20**",="0.19**",="0.096*",="0.078*",="-0.010",="-0.015"
="",="(0.48)",="(0.48)",="(0.077)",="(0.077)",="(0.053)",="(0.043)",="(0.023)",="(0.014)"

="c_antiguedad",="-0.084",="0.19*",="0.28***",="0.25***",="0.47***",="0.48***",="-0.020***",="-0.023***"
="",="(0.074)",="(0.11)",="(0.014)",="(0.022)",="(0.010)",="(0.0097)",="(0.0056)",="(0.0054)"

="salario_diario",="-0.029",="0.43*",="0.57***",="0.53***",="0.95***",="0.87***",="-0.067***",="-0.049***"
="",="(0.12)",="(0.25)",="(0.029)",="(0.047)",="(0.020)",="(0.017)",="(0.012)",="(0.012)"

="horas_sem",="0.13",="0.39",="-0.081",="-0.047",="0.86***",="0.36***",="-0.21***",="-0.071***"
="",="(0.62)",="(0.63)",="(0.078)",="(0.082)",="(0.058)",="(0.042)",="(0.023)",="(0.023)"

="top_desp",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="reinst",="",="0.056",="",="0.15***",="",="0.0071",="",="0.014"
="",="",="(0.095)",="",="(0.049)",="",="(0.037)",="",="(0.018)"

="indem",="",="0.30",="",="0.072",="",="0.021",="",="-0.032"
="",="",="(0.43)",="",="(0.081)",="",="(0.055)",="",="(0.037)"

="sal_caidos",="",="-0.60**",="",="0.014",="",="-0.12",="",="0.050"
="",="",="(0.23)",="",="(0.095)",="",="(0.089)",="",="(0.049)"

="prima_antig",="",="0.36",="",="0.016",="",="0.033",="",="-0.076**"
="",="",="(0.42)",="",="(0.066)",="",="(0.037)",="",="(0.032)"

="prima_vac",="",="-0.39**",="",="-0.21**",="",="0.085",="",="-0.049"
="",="",="(0.20)",="",="(0.10)",="",="(0.079)",="",="(0.051)"

="hextra",="",="0.42",="",="-0.11**",="",="0.92***",="",="-0.28***"
="",="",="(0.28)",="",="(0.052)",="",="(0.028)",="",="(0.023)"

="rec20",="",="0.44***",="",="0.12***",="",="0.15***",="",="-0.016"
="",="",="(0.16)",="",="(0.044)",="",="(0.033)",="",="(0.018)"

="prima_dom",="",="-0.073",="",="-0.039",="",="0.099***",="",="-0.014"
="",="",="(0.29)",="",="(0.046)",="",="(0.027)",="",="(0.013)"

="desc_sem",="",="0.29",="",="0.046",="",="0.43***",="",="-0.031**"
="",="",="(0.34)",="",="(0.054)",="",="(0.031)",="",="(0.014)"

="desc_ob",="",="0.00038",="",="-0.040",="",="0.054**",="",="-0.030**"
="",="",="(0.22)",="",="(0.041)",="",="(0.026)",="",="(0.012)"

="sarimssinf",="",="0.58**",="",="0.086**",="",="-0.037",="",="0.018"
="",="",="(0.23)",="",="(0.039)",="",="(0.023)",="",="(0.015)"

="utilidades",="",="-0.11",="",="-0.021",="",="0.060***",="",="-0.030**"
="",="",="(0.30)",="",="(0.042)",="",="(0.023)",="",="(0.013)"

="nulidad",="",="0.44**",="",="-0.048",="",="0.044**",="",="-0.041***"
="",="",="(0.21)",="",="(0.036)",="",="(0.022)",="",="(0.014)"

="vac",="",="-0.089",="",="0.21*",="",="0.084",="",="0.059"
="",="",="(0.16)",="",="(0.12)",="",="(0.11)",="",="(0.071)"

="ag",="",="-0.36**",="",="-0.083",="",="-0.056",="",="-0.041"
="",="",="(0.15)",="",="(0.080)",="",="(0.069)",="",="(0.066)"

="codem",="",="-0.18",="",="-0.12**",="",="0.065*",="",="-0.046**"
="",="",="(0.33)",="",="(0.056)",="",="(0.036)",="",="(0.019)"

="c_total",="",="-0.55**",="",="0.034",="",="",="",=""
="",="",="(0.23)",="",="(0.037)",="",="",="",=""

="_cons",="99.4***",="101.9***",="6.59***",="6.33***",="2.63***",="4.11***",="1.52***",="1.18***"
="",="(2.15)",="(2.12)",="(0.31)",="(0.34)",="(0.25)",="(0.21)",="(0.11)",="(0.12)"

="N",="3077",="3066",="3077",="3066",="3077",="3066",="3077",="3066"
="R-squared",="0.0068",="0.014",="0.37",="0.38",="0.74",="0.84",="0.11",="0.22"
="DepVarMean",="99.6",="",="9.70",="",="11.7",="",="0.27",=""
="DummyGiro",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
