
="",="(1)",="(2)"
="",="seconcilio",="seconcilio"

="1.treatment",="0",="0"
="",="(.)",="(.)"

="2.treatment",="0.044*",="0.016"
="",="(0.024)",="(0.020)"

="4.treatment",="-0.025",="-0.010"
="",="(0.016)",="(0.014)"

="0.p_actor",="",="0"
="",="",="(.)"

="1.p_actor",="",="0.16***"
="",="",="(0.053)"

="1.treatment#0.p_actor",="",="0"
="",="",="(.)"

="1.treatment#1.p_actor",="",="0"
="",="",="(.)"

="2.treatment#0.p_actor",="",="0"
="",="",="(.)"

="2.treatment#1.p_actor",="",="0.15*"
="",="",="(0.086)"

="4.treatment#0.p_actor",="",="0"
="",="",="(.)"

="4.treatment#1.p_actor",="",="0.0083"
="",="",="(0.066)"

="_cons",="0.072***",="0.041***"
="",="(0.015)",="(0.013)"

="N",="1668",="1668"
="R-squared",="0.011",="0.094"
="DepVarMean",="0.064",="0.064"
="InteractionVarMean",="",="0.13"
="Pvalueplacebo",="0.00061",="0.11"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
