
="",="(1)",="(2)",="(3)"
="",="p_actor",="p_actor",="p_actor"

="gen",="-0.043",="0.00012",="-0.019"
="",="(0.027)",="(0.023)",="(0.018)"

="abogado_pub",="0.26***",="0.51***",="0.37***"
="",="(0.055)",="(0.059)",="(0.042)"

="trabajador_base",="-0.061",="0.011",="-0.028"
="",="(0.039)",="(0.042)",="(0.029)"

="c_antiguedad",="0.0035",="0.0046**",="0.0044***"
="",="(0.0023)",="(0.0021)",="(0.0016)"

="salario_diario",="0.000010",="-0.0000073",="0.0000049"
="",="(0.0000083)",="(0.0000070)",="(0.0000076)"

="horas_sem",="-0.0017**",="-0.0029***",="-0.0023***"
="",="(0.00081)",="(0.0010)",="(0.00065)"

="age",="",="0.00061",=""
="",="",="(0.0037)",=""

="_cons",="0.26***",="0.30***",="0.27***"
="",="(0.054)",="(0.065)",="(0.041)"

="N",="836",="1021",="1857"
="R-squared",="0.054",="0.12",="0.081"
="DepVarMean",="0.19",="0.18",="0.19"
="p_val",="0.0000015",="5.5e-19",="9.1e-21"
="p_val_2",="0.018",="0.0020",="0.000095"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
