reclutamiento,giro_empresa_d2,giro_empresa_d3,giro_empresa_d4,giro_empresa_d5,giro_empresa_d6,giro_empresa_d7,giro_empresa_d8,giro_empresa_d9,giro_empresa_d10,giro_empresa_d11,giro_empresa_d12,giro_empresa_d13,giro_empresa_d14,giro_empresa_d15,giro_empresa_d16,giro_empresa_d17,giro_empresa_d18,giro_empresa_d19,giro_empresa_d20,giro_empresa_d21,giro_empresa_d22,giro_empresa_d23,giro_empresa_d24,trabajador_base,gen,tipo_jornada_d2,tipo_jornada_d3,tipo_jornada_d4,reinst,indem,sal_caidos,prima_antig,prima_vac,hextra,rec20,prima_dom,desc_sem,desc_ob,sarimssinf,utilidades,monto_recsueldo,nulidad,vac,ag,codem,horas_extra,antiguedad,salario_diario,horas_sem,c_antiguedad,c_indem,c_prima_antig,c_rec20,c_ag,c_vac,c_hextra,c_prima_vac,c_prima_dom,c_desc_sem,c_desc_ob,c_utilidades,c_recsueldo,c_total,min_indem,min_prima_antig,min_ag,min_vac,min_prima_vac,min_ley,c_sal_caidos,prop_hextra,modo_termino,liq_total,liq_total_tope,liq_total_pos,duracion
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,25000,0,1,1,1,1,2.892,1991.73,75,2.9000001,179255.7,3993.55,115356.64,2219.8701,1362.86,272172.88,340.70999,0,46082.18,6186.3701,0,25000,651970.75,179255.7,3993.55,2219.8701,1362.86,340.70999,187172.69,748492.13,.41746178,2,0,0,0,.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,,0,1,1,1,1,.25,1285.71,54,.25,115713.9,351.37,6551.8398,1146.58,458.63,35831.25,0,0,7800,1070.14,0,0,168923.7,115713.9,351.37,1146.58,458.63,114.66,117785.13,718069.06,.21211499,4,0,0,0,1.77
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,72600,0,1,0,0,0,4.5500002,1100,63,4.5599999,99000,0,0,0,1220.22,0,305.04999,0,0,0,0,72600,173125.27,99000,6545.1299,2008.41,1220.22,305.04999,109078.82,441100,0,1,10000,10000,1,.33000001
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,6000,1,1,1,0,1,1.094,400,70,1.1,36000,1511.28,0,6575.3398,2706.8501,285000,676.71002,5700,0,0,0,6000,344170.19,36000,1511.28,5884.9302,306.85001,76.709999,43779.77,167480,.82807869,2,0,0,0,.49000001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,,1,1,1,0,1,1.0470001,60.07,60,1.05,5406.2998,723.40002,0,764.95001,22.67,13029.66,5.6700001,775.58002,6204.6001,843.96002,0,0,27776.779,5406.2998,723.40002,764.95001,22.67,5.6700001,6922.98,24178.18,.46908462,1,2000,2000,1,.34
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,547.15002,1,1,1,0,1,2.2639999,109.43,72,2.27,9848.7002,2841.25,0,1460.14,277.70999,48553.309,69.43,3082.75,24662,3314.8,0,547.15002,94657.242,9848.7002,2841.25,1460.14,277.70999,69.43,14497.23,45916.828,.51293814,1,5000,5000,1,.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,4999.9502,1,1,1,0,1,1.436,333.33,72,1.4400001,29999.699,1987.33,0,3397.26,588.13,122500,147.03,3125,0,3362.5601,0,4999.9502,170106.95,29999.699,1987.33,2294.52,588.13,147.03,35016.711,134465.31,.72013515,2,0,0,0,.34999999
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,36500,0,1,1,0,1,1.067,750,60,1.0700001,67500,1473.49,0,6410.96,2619.1799,131625,654.78998,0,0,0,0,36500,246783.44,67500,1473.49,5720.5498,219.17999,54.790001,74968.023,425625,.53336239,3,783390.13,672408.44,1,1.85
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,32700,1,1,1,0,0,21.646999,300,45,21.67,27000,29877.939,0,97495.891,98712.328,0,24678.08,0,0,90996.156,0,32700,401460.41,27000,29877.939,4352.0498,3912.3301,978.08002,66120.406,166920,0,1,90000,90000,1,1.75
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,15000,1,1,1,0,0,4.4640002,200,48,4.4699998,18000,6166.0098,0,13413.7,8511.7803,0,2127.95,0,0,12519.45,0,15000,75738.891,18000,6166.0098,2868.49,1311.78,327.95001,28674.23,76540,0,1,34259.469,34259.469,1,.16
