coef_m1,std_m1,coef_m2,std_m2,coef_m3,std_m3,coef_m4,std_m4,coef_m5,std_m5,coef_m6,std_m6,coef_m7,std_m7,coef_m8,std_m8,coef_m9,std_m9,coef_m10,std_m10,coef_m11,std_m11,coef_m12,std_m12,coef_m13,std_m13,coef_m14,std_m14,coef_m15,std_m15,feature,imp_mean_m1,imp_std_m1,imp_mean_m2,imp_std_m2,imp_mean_m3,imp_std_m3,imp_mean_m4,imp_std_m4,imp_mean_m5,imp_std_m5,imp_mean_m6,imp_std_m6,imp_mean_m7,imp_std_m7,imp_mean_m8,imp_std_m8,imp_mean_m9,imp_std_m9,imp_mean_m10,imp_std_m10,imp_mean_m11,imp_std_m11,imp_mean_m12,imp_std_m12,imp_mean_m13,imp_std_m13,imp_mean_m14,imp_std_m14,imp_mean_m15,imp_std_m15
0.4055,0.122,0.0558,0.042,0.0048,0.022,0.0758,0.023,0.2426,0.075,0.1133,0.284,2.3675,0.836,0.0202,1.398,0.6272,0.22,1.0894,1.223,0.0,0.0,0.0,0.0,0.5381,0.301,2.3759,0.837,6.9069,10.11,giro_empresa_d11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.529416001350597e-06,0.0,-1.6225607168962597e-07,0.0,1.1213593975489822e-05,0.0,-1.6707538179616677e-05,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,3.910721305899756e-06,0.0,4.10221507030073e-06,0.0,-2.220446049250313e-16,0.0
0.4054,0.07,0.0325,0.024,0.0275,0.013,0.0749,0.013,0.2436,0.043,0.277,0.2,2.3995,0.503,1.2558,0.986,0.6165,0.132,1.3963,1.222,1.3405,1.235,1.1787,0.6,0.4089,0.173,2.4169,0.503,13.0112,10.089,giro_empresa_d12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.426672441124822e-05,0.0,0.0007672736342243525,0.0,1.4080507757197047e-05,0.0,0.0033973587185300858,0.0,0.0001147153101875853,0.0,0.001073210385674539,0.0,5.8824473004204236e-05,0.0,0.0013121714230618364,0.0,1.0186030241499111e-08,0.0
0.4054,0.026,0.0597,0.009,0.0194,0.005,0.0763,0.005,0.255,0.016,0.2017,0.066,2.4315,0.194,0.8186,0.336,0.6523,0.051,1.3581,0.318,1.2123,0.609,1.0251,0.285,0.3048,0.057,2.4491,0.194,11.2769,3.128,giro_empresa_d13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004919424984882736,0.0,0.013017612143215729,0.0,0.002369809022250924,0.0,-0.002410307538411871,0.0,0.000238153261818419,0.0,0.0009991940594139548,0.0,0.0015367833144024345,0.0,0.005726084551483046,0.0,1.0335539712968966e-07,0.0
0.4054,0.052,0.0817,0.018,0.0191,0.009,0.0718,0.01,0.27,0.032,0.1448,0.107,2.4048,0.423,0.5109,0.57,0.6919,0.111,1.1711,0.495,1.6087,1.231,0.5354,0.426,0.4299,0.109,2.4115,0.423,7.9248,5.823,giro_empresa_d14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3132213660237433e-05,0.0,-7.763194368237691e-05,0.0,2.9554311969937075e-05,0.0,-0.003899338759993043,0.0,-1.4162371657744366e-05,0.0,0.002896498106420786,0.0,0.00024944102870749774,0.0,8.699225885533401e-05,0.0,-1.5416248277944078e-09,0.0
0.4054,0.022,0.0688,0.008,0.0106,0.004,0.0753,0.004,0.243,0.014,0.0949,0.053,2.3705,0.161,0.438,0.279,0.5993,0.042,1.1648,0.227,1.1903,0.87,0.729,0.225,0.4106,0.05,2.3761,0.161,9.38,2.318,giro_empresa_d15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002000800320127727,0.0,0.0,0.0,0.0005913996155172407,0.0,9.364451518933947e-05,0.0,0.00014706069868364313,0.0,0.0017694948332973581,0.0,0.0005660580388816561,0.0,0.0003413905872985401,0.0,0.0011146020941616985,0.0,0.00010756688008106696,0.0,8.877925061767655e-10,0.0
0.4054,0.181,0.0331,0.063,0.0158,0.032,0.075,0.034,0.314,0.111,0.0,0.0,2.4382,1.183,0.0,0.0,0.7675,0.311,0.0,0.0,0.0,0.0,0.0,0.0,0.6668,0.426,2.443,1.184,0.0,0.0,giro_empresa_d16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.907251670629222e-07,0.0,0.0,0.0,0.0,0.0,-7.0954229158815e-09,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,9.941727500129005e-06,0.0,0.0005523084597004457,0.0,0.0,0.0
0.4054,0.013,0.0466,0.005,0.0108,0.003,0.0763,0.002,0.2311,0.008,0.1345,0.043,2.3387,0.099,0.8417,0.229,0.5844,0.026,1.1987,0.193,1.2423,0.453,1.0059,0.082,0.4097,0.036,2.3372,0.099,9.5868,1.724,giro_empresa_d17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002000800320127727,0.0,0.0,0.0,0.0003490416073608227,0.0,0.0012855938733480343,0.0,0.0019741829831085855,0.0,-0.06409693415525908,0.0,-1.2344883402515272e-05,0.0,0.00016799862236782648,0.0,0.0014362963068865753,0.0,0.018627172780227408,0.0,4.195374025961485e-08,0.0
0.4054,0.015,0.0601,0.005,0.0222,0.003,0.0738,0.003,0.2463,0.009,0.2202,0.035,2.3938,0.104,0.8678,0.18,0.5461,0.028,1.4884,0.17,1.2464,0.274,1.382,0.229,0.3981,0.034,2.4033,0.104,10.142,1.549,giro_empresa_d18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006785707871962421,0.0,-0.0018556434724956716,0.0,9.932819179492292e-06,0.0,0.009354806859619202,0.0,0.00017850300458133184,0.0,0.050032193140864156,0.0,0.000865827915707551,0.0,-2.7805258971946856e-05,0.0,-1.3849519531206056e-08,0.0
0.4054,0.031,0.0866,0.011,0.0087,0.006,0.0747,0.006,0.2441,0.019,0.0727,0.065,2.3726,0.218,0.3371,0.373,0.6123,0.057,1.2273,0.273,0.0,0.0,0.7169,0.393,0.3804,0.083,2.378,0.218,9.8342,3.529,giro_empresa_d19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.481253934709219e-05,0.0,0.0005144863358310658,0.0,6.6920288757099655e-06,0.0,0.002100853024103344,0.0,-1.1102230246251565e-16,0.0,0.003101178812473737,0.0,0.000295597066494957,0.0,-7.880575427443581e-05,0.0,4.498452721435342e-10,0.0
0.4055,0.234,0.0214,0.081,0.0066,0.042,0.0773,0.044,0.2253,0.144,0.0,0.0,2.3942,1.673,0.0,0.0,0.522,0.441,0.0,0.0,0.0,0.0,0.6657,1.045,0.0,0.0,2.4183,1.675,0.0,0.0,giro_empresa_d20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.441416850380463e-06,0.0,0.0,0.0,0.0,0.0,-7.0954229158815e-09,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.00043826677725233854,0.0,0.0,0.0
