
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="c_total",="liq_total",="won_asked",="win",="c_total",="liq_total",="won_asked",="win",="c_total",="liq_total",="won_asked",="win"

="abogado_pub",="-0.62***",="0.0011",="0.055**",="1.65",="-0.67***",="-0.20***",="0.087***",="0.018",="-0.44***",="-0.22",="0.027",="-0.59"
="",="(0.033)",="(0.22)",="(0.024)",="(2.33)",="(0.041)",="(0.053)",="(0.020)",="(0.37)",="(0.12)",="(0.81)",="(0.29)",="(7.59)"

="N",="4866",="4866",="4866",="4866",="3077",="3077",="3077",="3077",="422",="422",="422",="422"
="R-sq",="0.744",="0.036",="0.043",="0.020",="0.738",="0.370",="0.107",="0.007",="0.782",="0.128",="0.065",="0.130"
="DepVarMean",="11.7",="6.40",="0.21",="65.3",="11.7",="6.40",="0.21",="65.3",="11.7",="6.40",="0.21",="65.3"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
