"medias_liqtotal_convenios.variable","medias_liqtotal_convenios.media","medias_liqtotal_convenios.de"
"antig_anos",3.58375910156732,4.52726478354028
"horas",58.3801051051051,12.7241581436576
"sueldo_diario_integrado",399.72714952636,374.865610284433
"y",24643.6998853399,30486.4272707669
