"lt_convenio_train.id","lt_convenio_train.antig_anos","lt_convenio_train.horas","lt_convenio_train.sueldo_diario_integrado","lt_convenio_train.tipo_de_abogado","lt_convenio_train.trab_base","lt_convenio_train.gen","lt_convenio_train.reinstalacion_t","lt_convenio_train.indem_const_t","lt_convenio_train.sal_caidos_t","lt_convenio_train.rec_hr_extra","lt_convenio_train.rec_20_d_ias_t","lt_convenio_train.sarimssinfo","lt_convenio_train.cod_imss","lt_convenio_train.y"
132,-0.317148204211081,0.598852577032221,-0.399415538311859,"0","0","0","0","1","1","1","0","1","1",15000
406,-0.0387739467157603,-0.58000733893611,-0.533703663493052,"0","0","1","0","1","1","0","0","1","0",18000
2220,-0.773439921931672,-0.855074652662054,0.510510554244849,"1","0","0","0","1","1","0","0","0","0",18000
1336,1.76884324271581,0.363080593838555,-0.369991660267589,"1","0","0","0","1","1","0","0","0","0",15000
1658,0.0834686620104457,0.127308610644889,0.144779486260315,"0","0","1","1","1","1","0","1","1","0",40000
2048,-0.658459250357518,-1.75886725490444,-0.799558938732576,"0","0","0","0","1","1","0","0","0","0",7000
760,-0.736525074742075,1.77771249300055,-0.601648012884489,"1","0","0","0","1","1","0","0","0","0",5000
437,-0.0551133053078769,0.598852577032221,-0.434654833775577,"0","0","0","0","1","1","1","1","0","0",12000
2200,-0.587050201695674,0.127308610644889,2.14282886569442,"0","0","0","1","1","1","1","1","1","0",35000
865,-0.568895358815545,1.07039654341955,-0.177113649189239,"0","1","0","0","1","1","1","0","0","0",17500
2053,-0.238477218397186,1.07039654341955,-0.304143300116451,"0","0","0","0","1","1","1","1","1","0",17000
2211,-1.84033952185395,-0.344235355742444,-0.456578881229104,"0","0","0","0","1","1","1","0","0","0",15000
1241,0.206921593595327,0.598852577032221,0.801014662950289,"0","0","0","0","1","1","1","0","1","0",50000
1245,-0.261473352712017,-1.44450461064622,-0.603942168380235,"0","0","1","1","0","1","0","1","0","0",17000
1628,1.41240316083593,-0.0298727114842223,-0.312896532272892,"0","0","0","0","1","1","1","1","1","0",70000
1351,0.314640328017429,0.598852577032221,-0.221591811164893,"0","0","0","0","1","1","1","0","1","0",7000
913,0.329164202321533,0.127308610644889,0.267490129056001,"0","0","0","1","1","1","1","1","1","0",15000
243,-0.75831088619823,-0.855074652662054,-0.601648012884489,"1","0","0","0","1","1","0","0","0","0",10000
