"lt.laudo.pierde.df.tipo_de_abogado","lt.laudo.pierde.df.giro_empresa","lt.laudo.pierde.df.trab_base","lt.laudo.pierde.df.acci_on_principal","lt.laudo.pierde.df.causa","lt.laudo.pierde.df.sueldo_diario_integrado","lt.laudo.pierde.df.gen","lt.laudo.pierde.df.horas","lt.laudo.pierde.df.reinstalacion_t","lt.laudo.pierde.df.indem_const_t","lt.laudo.pierde.df.sal_caidos_t","lt.laudo.pierde.df.rec_hr_extra","lt.laudo.pierde.df.rec_20_d_ias_t","lt.laudo.pierde.df.sarimssinfo","lt.laudo.pierde.df.y","lt.laudo.pierde.df.cod_imss","lt.laudo.pierde.df.antig_anos","lt.laudo.pierde.df.id"
"0","8","0","2","0",466.66,"1",60,"0","1","1","1","0","0",0,"0",0.463013699,2464
"0","4","0","2","0",142.85,"0",60,"0","1","1","1","0","0",0,"0",34.67945205,2465
"0","5","0","2","0",642.86,"0",60,"0","1","1","1","0","1",0,"0",23.16712329,2466
"0","7","0","2","0",271.43,"0",72,"0","1","1","1","0","0",0,"0",4.276712329,2467
"0","5","0","1","0",884.68,"0",70,"1","1","1","1","1","0",0,"0",0.156164384,2475
"0","1","0","2","0",850,"1",54,"0","1","1","1","0","0",0,"0",3.15890411,2477
"0","1","0","2","0",342.85,"0",120,"0","1","1","1","0","1",0,"0",0.936986301,2479
"0","7","0","2","0",300,"0",60,"0","1","1","1","0","0",0,"0",4.063013699,2481
"0","7","0","2","0",361.43,"1",66,"0","1","1","0","0","0",0,"0",0.410958904,2483
"1","3","0","2","0",156.78,"0",45,"0","1","1","0","0","0",0,"0",0.38630137,2484
"1","5","0","2","0",147.47,"0",50,"0","1","1","0","0","0",0,"0",19.3890411,2485
"0","4","0","2","0",2622.66,"0",56,"0","1","1","1","0","1",0,"0",11.47945205,2486
"0","3","0","2","0",150,"1",60,"0","1","1","0","0","1",0,"0",2.895890411,2487
"1","3","0","2","0",322.75,"1",47,"0","1","1","0","0","0",0,"0",2.906849315,2488
"0","11","0","2","0",386,"0",46,"0","1","1","1","1","1",0,"0",5.61369863,2489
"1","7","0","2","0",522.68,"0",54,"0","1","1","0","0","0",0,"0",0.265753425,2490
"1","7","0","2","0",333.33,"1",54,"0","1","1","0","0","0",0,"0",0.328767123,2491
"0","4","0","2","0",200,"0",72,"0","1","1","1","0","0",0,"0",1.145205479,2492
"0","5","0","2","0",267,"0",48,"0","1","1","0","1","1",0,"0",20.25205479,2494
"0","3","0","2","0",270,"0",45,"0","1","1","0","0","1",0,"0",7.742465753,2495
"0","7","0","1","0",907.93,"0",58,"1","1","1","0","1","1",0,"0",6.964383562,2496
"0","2","0","1","0",1900,"0",60,"1","1","1","1","0","0",0,"0",0.424657534,2500
"0","7","0","2","0",358,"0",54,"0","1","1","0","1","0",0,"0",12.28219178,2501
"0","6","0","2","0",500,"1",66,"0","1","1","0","0","1",0,"0",2.019178082,2502
