"d.laudo.pierde.df.tipo_de_abogado","d.laudo.pierde.df.giro_empresa","d.laudo.pierde.df.trab_base","d.laudo.pierde.df.acci_on_principal","d.laudo.pierde.df.causa","d.laudo.pierde.df.sueldo_diario_integrado","d.laudo.pierde.df.gen","d.laudo.pierde.df.horas","d.laudo.pierde.df.reinstalacion_t","d.laudo.pierde.df.indem_const_t","d.laudo.pierde.df.sal_caidos_t","d.laudo.pierde.df.rec_hr_extra","d.laudo.pierde.df.rec_20_d_ias_t","d.laudo.pierde.df.sarimssinfo","d.laudo.pierde.df.cod_imss","d.laudo.pierde.df.antig_anos","d.laudo.pierde.df.y","d.laudo.pierde.df.id"
"0","1","0","2","0",507.54,"0",60,"0","1","1","1","0","1","0",0.410958904,5.1013698630137,2389
"0","3","0","2","0",120,"0",60,"0","1","1","1","0","0","0",2.279452055,5.10684931506849,2390
"0","7","1","2","0",166.66,"0",45,"0","1","1","0","1","1","0",2.065753425,5.05479452054795,2391
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",1.561643836,4.00821917808219,2392
"0","1","0","2","0",135.8,"0",42,"0","1","1","0","0","0","0",0.736986301,4.00821917808219,2393
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",1.290410959,4.00821917808219,2394
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",3.460273973,4.00821917808219,2395
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",3.473972603,4.00821917808219,2396
"0","1","0","2","0",135.8,"0",42,"0","1","1","0","0","0","0",1.756164384,4.00821917808219,2397
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",1.073972603,4.00821917808219,2398
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",2.232876712,4.00821917808219,2399
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",2.950684932,4.00821917808219,2400
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",0.698630137,4.00821917808219,2401
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",2.854794521,4.00821917808219,2402
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",0.879452055,4.00821917808219,2403
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",1.208219178,4.00821917808219,2404
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",0.153424658,4.00821917808219,2405
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",0.205479452,4.00821917808219,2406
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",1.208219178,4.00821917808219,2407
"0","1","1","2","0",200,"1",60,"0","1","1","0","0","0","0",1.810958904,4.00821917808219,2408
"0","1","0","2","0",135.8,"0",42,"0","1","1","0","0","0","0",1.219178082,4.00821917808219,2409
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",1.205479452,4.00821917808219,2410
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",2.652054795,4.00821917808219,2411
"0","1","0","2","0",582.61,"0",60,"0","1","1","1","0","0","0",3.484931507,5.91232876712329,2412
"0","5","0","2","0",1000,"0",78,"0","1","1","1","0","0","0",0.18630137,1.29315068493151,2413
"0","2","0","2","0",333.33,"1",49,"0","1","1","1","0","0","0",2.334246575,1.45205479452055,2414
"0","2","0","2","0",266.66,"0",59,"0","1","1","1","0","0","0",6.676712329,5.76438356164384,2415
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",5.257534247,1.00547945205479,2417
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",3.6,1.00547945205479,2418
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",1.112328767,1.00547945205479,2419
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",1.112328767,1.00547945205479,2420
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",7.857534247,1.00547945205479,2421
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",16.37534247,1.00547945205479,2422
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",15.54246575,1.00547945205479,2423
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",13.35068493,1.00547945205479,2424
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",5.065753425,1.00547945205479,2425
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",29.41917808,1.00547945205479,2426
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",5.063013699,1.00547945205479,2427
"0","2","0","1","0",700,"1",66,"1","1","1","1","1","1","0",26.46575342,1.00547945205479,2428
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",2.660273973,1.00547945205479,2429
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",4.906849315,1.00547945205479,2430
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",1.098630137,1.00547945205479,2431
"0","2","0","1","0",350,"1",66,"1","1","1","1","1","1","0",1.112328767,1.00547945205479,2432
