"duracion_desiste_train.id","duracion_desiste_train.antig_anos","duracion_desiste_train.horas","duracion_desiste_train.sueldo_diario_integrado","duracion_desiste_train.tipo_de_abogado","duracion_desiste_train.trab_base","duracion_desiste_train.gen","duracion_desiste_train.reinstalacion_t","duracion_desiste_train.indem_const_t","duracion_desiste_train.rec_hr_extra","duracion_desiste_train.rec_20_d_ias_t","duracion_desiste_train.sarimssinfo","duracion_desiste_train.cod_imss","duracion_desiste_train.y"
74,0.945587385910526,0.338469590471648,-0.199644977400256,"1","0","0","0","1","0","0","0","1",0.158904109589041
1243,-0.725072122261906,-0.00097235975324824,-0.17339764372878,"1","0","0","0","1","0","0","0","0",2.92876712328767
1461,1.06921122470248,-0.00097235975324824,0.628099320053517,"0","0","0","0","1","1","1","1","0",0.904109589041096
969,-0.638187898211334,-0.815633040292999,-0.208503133048293,"1","0","1","0","1","0","0","1","0",0.857534246575342
937,-0.716135459216704,0.406357980516627,-0.223806836458691,"0","0","0","0","1","1","0","1","0",0.668493150684932
2173,-0.246464168063325,-0.67985626020304,-0.238411000415557,"0","0","0","0","1","1","0","1","0",0.408219178082192
1695,1.49270975678899,-0.204637529888186,-0.178314865733057,"0","0","0","1","0","0","0","1","0",2.3972602739726
2201,-0.540381085994404,0.202692810381689,-0.142636893186435,"1","0","0","0","1","0","0","0","0",2.98630136986301
1117,-0.671452143990696,0.406357980516627,0.031766032786448,"0","0","0","0","1","1","0","1","0",0.824657534246575
350,-0.484775182602038,-0.951409820382957,-0.28174009445918,"0","0","1","1","1","1","1","0","0",0.158904109589041
199,1.81393314513596,0.406357980516627,-0.179994344588096,"0","0","0","0","1","1","0","1","1",1.21369863013699
1759,1.22758875311467,2.17145612168609,-0.24204962786541,"0","0","0","0","1","0","0","1","0",1.38630136986301
1726,0.0156779479292586,0.610023150651565,-0.179994344588096,"0","0","0","0","1","1","0","0","0",0.673972602739726
1821,-0.0488646185083093,-3.25961508191225,-0.296827656243017,"0","1","1","0","1","0","0","1","0",1.57534246575342
299,-0.631237160287288,-0.849577235315488,-0.147692124540104,"0","0","0","1","0","1","0","0","0",1.26027397260274
1503,-0.332355429553319,-0.00097235975324824,-0.226025208963739,"0","0","0","0","1","1","1","1","0",0.895890410958904
851,0.124903829592835,0.610023150651565,-0.121577688760636,"0","0","0","0","1","1","0","0","0",0.512328767123288
1064,0.364704287972415,-0.815633040292999,-0.121577688760636,"0","0","1","1","1","1","0","1","0",0.0958904109589041
1909,-0.701737502088324,-0.00097235975324824,-0.14713497568515,"0","0","1","0","1","1","0","0","0",0.172602739726027
566,2.37843236082454,0.406357980516627,-0.25203741559551,"0","0","0","0","1","0","0","0","0",1.46027397260274
829,-0.5766242194555,-0.408302700023124,-0.241800870272678,"0","0","0","0","1","1","0","0","0",0.0876712328767123
155,-0.5180394283814,-0.815633040292999,-0.280538901973728,"1","0","0","0","1","0","0","0","1",0.605479452054794
2258,-0.35171819948459,0.813688320786502,0.0419889475562536,"0","0","1","0","1","1","0","0","0",1.87671232876712
2000,0.686920638879966,1.62834900132625,0.355489963344496,"0","0","1","0","1","1","0","1","0",1.7041095890411
1620,-0.699751576967168,0.304525395449158,0.140810456997708,"0","0","1","0","1","1","0","0","0",0.8
834,2.39531272435436,1.01735349092144,-0.0464392652025647,"0","0","0","1","0","1","0","1","0",0.0273972602739726
1220,0.183985101947224,-0.408302700023124,-0.22125110776624,"0","0","1","0","1","1","0","0","0",0.106849315068493
1842,-0.618328646999774,-0.67985626020304,-0.0704631149116078,"0","0","1","1","1","1","1","1","0",0.397260273972603
805,-0.686346582399365,-1.69818211087773,-0.26726955860252,"0","0","0","0","1","0","0","0","0",2.11506849315069
1314,-0.638187898211334,0.066916030291731,0.176590658692027,"0","1","1","1","1","1","1","1","0",1.30684931506849
621,-0.626768828764687,0.13480442033671,-0.14713497568515,"0","0","0","0","1","1","0","1","0",0.0438356164383562
747,-0.386968370385108,-0.00097235975324824,-0.192126023587064,"1","0","0","0","1","0","0","0","0",0.172602739726027
91,0.484852757802349,0.406357980516627,0.159552467409018,"0","1","0","0","1","1","0","1","1",0.205479452054795
