"df.laudo.pierde.tipo_de_abogado","df.laudo.pierde.giro_empresa","df.laudo.pierde.trab_base","df.laudo.pierde.acci_on_principal","df.laudo.pierde.causa","df.laudo.pierde.sueldo_diario_integrado","df.laudo.pierde.gen","df.laudo.pierde.horas","df.laudo.pierde.reinstalacion_t","df.laudo.pierde.indem_const_t","df.laudo.pierde.sal_caidos_t","df.laudo.pierde.rec_hr_extra","df.laudo.pierde.rec_20_d_ias_t","df.laudo.pierde.sarimssinfo","df.laudo.pierde.cod_imss","df.laudo.pierde.antig_anos","df.laudo.pierde.id","df.laudo.pierde.y"
"0","5","0","2","0",500,"0",84,"0","1","1","0","0","1","0",18.87671233,2368,1
"1","7","0","2","0",149.3,"1",53,"0","1","1","0","0","0","0",4.019178082,2369,0
"0","2","0","2","0",431.66,"0",88,"0","1","1","0","0","1","0",1.016438356,2370,1
"0","7","0","2","0",441.47,"0",40,"0","1","1","0","1","0","0",20.46027397,2371,0
"0","3","0","2","0",406.13,"0",50,"0","1","1","1","1","1","0",0.890410959,2372,1
"0","2","0","2","0",302,"0",60,"0","1","1","0","0","1","0",1.589041096,2373,0
"0","2","0","2","0",177.85,"0",60,"0","1","1","1","0","1","0",0.24109589,2374,1
"0","7","0","1","0",996.43,"0",60,"1","1","1","0","0","0","0",2.183561644,2375,0
"0","5","0","2","0",200,"0",96,"0","1","1","1","0","0","0",2.964383562,2376,1
"0","7","0","2","0",153.33,"0",50,"0","1","1","1","1","0","0",3.342465753,2377,1
"0","7","0","2","0",186.66,"0",50,"0","1","1","1","1","0","0",6.997260274,2378,1
"0","7","0","2","0",412.93,"0",42,"0","1","1","0","0","0","0",6.150684932,2379,1
"0","6","0","2","0",323.8,"1",72,"0","1","1","1","0","0","0",3.78630137,2380,0
"0","5","1","2","0",339.07,"0",66,"0","1","1","0","0","0","0",5.542465753,2381,0
"0","5","0","2","0",421.42,"0",64.5,"0","1","1","1","0","0","0",2.290410959,2382,1
"0","1","0","1","0",213.68,"0",50,"1","1","1","1","1","0","0",1.271232877,2383,1
"0","5","0","2","0",250,"0",108,"0","1","1","1","0","0","0",5.356164384,2384,1
"0","7","0","2","0",300,"0",90,"0","1","1","1","0","1","0",0.82739726,2386,1
"0","2","0","2","0",500,"0",66,"0","1","1","1","1","0","0",19.59178082,2387,1
"0","5","0","2","0",357.22,"0",66,"0","1","1","1","0","1","0",5.279452055,2388,1
"0","1","0","2","0",507.54,"0",60,"0","1","1","1","0","1","0",0.410958904,2389,1
"0","3","0","2","0",120,"0",60,"0","1","1","1","0","0","0",2.279452055,2390,1
"0","7","1","2","0",166.66,"0",45,"0","1","1","0","1","1","0",2.065753425,2391,1
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",1.561643836,2392,1
"0","1","0","2","0",135.8,"0",42,"0","1","1","0","0","0","0",0.736986301,2393,1
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",1.290410959,2394,1
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",3.460273973,2395,1
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",3.473972603,2396,1
"0","1","0","2","0",135.8,"0",42,"0","1","1","0","0","0","0",1.756164384,2397,1
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",1.073972603,2398,1
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",2.232876712,2399,1
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",2.950684932,2400,1
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",0.698630137,2401,1
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",2.854794521,2402,1
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",0.879452055,2403,1
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",1.208219178,2404,1
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",0.153424658,2405,1
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",0.205479452,2406,1
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",1.208219178,2407,1
"0","1","1","2","0",200,"1",60,"0","1","1","0","0","0","0",1.810958904,2408,1
"0","1","0","2","0",135.8,"0",42,"0","1","1","0","0","0","0",1.219178082,2409,1
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",1.205479452,2410,1
"0","1","0","2","0",135.8,"1",42,"0","1","1","0","0","0","0",2.652054795,2411,1
"0","1","0","2","0",582.61,"0",60,"0","1","1","1","0","0","0",3.484931507,2412,1
"0","5","0","2","0",1000,"0",78,"0","1","1","1","0","0","0",0.18630137,2413,1
"0","2","0","2","0",333.33,"1",49,"0","1","1","1","0","0","0",2.334246575,2414,1
"0","2","0","2","0",266.66,"0",59,"0","1","1","1","0","0","0",6.676712329,2415,1
"0","3","0","2","0",571.42,"1",50,"0","1","1","1","0","0","0",1.487671233,2416,0
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",5.257534247,2417,1
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",3.6,2418,1
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",1.112328767,2419,1
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",1.112328767,2420,1
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",7.857534247,2421,1
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",16.37534247,2422,1
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",15.54246575,2423,1
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",13.35068493,2424,1
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",5.065753425,2425,1
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",29.41917808,2426,1
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",5.063013699,2427,1
"0","2","0","1","0",700,"1",66,"1","1","1","1","1","1","0",26.46575342,2428,1
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",2.660273973,2429,1
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",4.906849315,2430,1
