"medias_liqtotal_laudo_gana.variable","medias_liqtotal_laudo_gana.media","medias_liqtotal_laudo_gana.de"
"antig_anos",5.14731641598361,5.19856826462369
"horas",57.6065573770492,10.1472963369964
"sueldo_diario_integrado",573.121639344262,456.164383310009
"y",150371.465901639,144109.213073397
