"data.probas.tipo_de_abogado","data.probas.giro_empresa","data.probas.trab_base","data.probas.acci_on_principal","data.probas.causa","data.probas.sueldo_diario_integrado","data.probas.gen","data.probas.horas","data.probas.reinstalacion_t","data.probas.indem_const_t","data.probas.sal_caidos_t","data.probas.rec_hr_extra","data.probas.rec_20_d_ias_t","data.probas.sarimssinfo","data.probas.modo_de_termino","data.probas.cod_imss","data.probas.antig_anos","data.probas.id"
"0","1","0","1","0",725.97,"0",72,"1","0","1","1","0","1","1","1",4.9972602739726,1
"0","2","0","2","0",285.71,"1",60,"0","1","1","1","0","1","1","1",1.11780821917808,2
"0","1","0","2","0",166.67,"1",40,"0","1","0","0","1","1","1","1",2.63561643835616,3
"0","3","0","1","0",526.86,"1",57,"1","1","1","1","1","1","1","1",1.97260273972603,4
"0","2","1","2","0",4550,"0",84,"0","1","1","1","0","1","2","1",14.8547945205479,5
"0","1","0","1","0",416.67,"1",60,"1","1","1","1","1","0","1","1",0.641095890410959,6
"0","3","0","2","0",600,"0",36,"0","1","1","0","0","0","2","1",2.24109589041096,7
"0","3","0","2","0",242.86,"0",72,"0","1","1","1","0","0","1","1",1.04931506849315,10
"0","3","0","2","0",333.33,"0",56,"0","1","1","1","0","1","1","1",4.08493150684932,11
"0","1","0","2","0",233.33,"1",45,"0","1","0","0","1","1","1","1",3.01095890410959,12
"1","1","0","2","0",67.58,"1",36,"0","1","1","0","0","0","1","1",2.2986301369863,13
"1","3","0","2","0",350.14,"0",40,"0","1","1","0","0","0","1","1",10.3260273972603,14
"0","2","0","2","0",214.28,"0",62,"0","1","1","1","1","1","1","1",2.11232876712329,16
"0","3","0","1","0",455.2,"0",66,"1","1","1","1","1","0","1","1",4.68219178082192,17
"0","3","0","2","0",370,"1",60,"0","1","1","1","0","1","1","1",11.0109589041096,18
"0","3","0","2","0",405.91,"1",60,"0","1","1","1","1","1","1","1",0.232876712328767,19
"0","1","0","2","0",328.82,"1",54,"0","1","1","0","0","0","1","1",2.64931506849315,21
"0","2","0","1","0",250,"0",45,"1","0","1","0","0","1","1","1",2.16164383561644,22
"0","4","0","1","0",250,"1",47.5,"1","1","1","0","0","1","1","1",4.11780821917808,23
"1","1","0","2","0",104.64,"1",53,"0","1","1","0","0","0","1","1",1.40547945205479,24
"0","1","0","2","0",166,"0",45,"0","1","1","0","0","1","1","1",2.28219178082192,25
"0","1","0","2","0",1000,"0",60,"0","1","1","1","0","1","1","1",3.13698630136986,26
"0","1","0","1","0",1000,"1",60,"1","1","1","1","1","1","1","1",0.838356164383562,27
"0","2","0","1","0",356.14,"0",45,"1","0","1","0","0","0","2","1",19.2876712328767,28
"0","1","0","1","0",383.333,"1",66,"1","0","1","0","0","1","1","1",0.301369863013699,29
"0","1","0","2","0",183.43,"0",72,"0","1","1","1","0","0","1","1",2.87123287671233,30
"0","1","0","1","0",220,"0",42,"1","1","1","0","1","1","2","1",4.25479452054795,31
"0","1","0","1","0",357.14,"0",54,"1","0","1","1","0","1","2","1",1.13698630136986,32
"0","1","0","2","0",300,"1",48,"0","1","1","0","0","0","1","1",0.367123287671233,33
"0","2","0","2","0",600,"1",55,"0","1","1","1","0","1","2","1",0.449315068493151,35
"1","2","0","2","0",138.56,"0",50,"0","1","1","0","0","0","1","1",0.249315068493151,37
"1","3","0","2","0",108.17,"1",36,"0","1","1","0","0","1","3","1",0.778082191780822,38
"0","1","1","1","0",812.52,"1",45,"1","1","1","0","1","0","1","1",13.4630136986301,39
"1","1","0","2","0",121.36,"1",35,"0","1","1","0","0","0","1","1",1.78356164383562,40
"0","5","0","2","0",242.86,"0",70,"0","1","1","1","0","1","2","1",1.83835616438356,41
"0","5","0","2","0",364.36,"0",60,"0","1","1","1","0","0","1","1",6.14794520547945,42
"0","2","0","2","0",200,"0",55,"0","1","1","1","0","0","2","1",1.0986301369863,43
"0","1","0","2","0",372.84,"0",57,"0","1","0","1","0","1","1","1",3.13698630136986,44
"0","2","0","2","0",333.33,"1",72,"0","1","1","1","0","1","1","1",0.30958904109589,45
